what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1480561758246
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1480561758247
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1480561758247
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1480561758247
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1480561758248
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1480561758248
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1480561758248
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1480561758248
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1480561758249
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1480561758249
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1480561758249
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1480561758308
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1480561758308
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1480561758309
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1480561758309
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1480561758309
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1480561758309
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1480561758310
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1480561758310
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1480561758311
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1480561758311
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1480561758311
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1480561758311
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1480561758312
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1480561758312
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1480561758312
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1480561758313
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1480561758313
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1480561758314
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1480561758314
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1480561758314
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1480561758315
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1480561758315
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1480561758316
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1480561758316
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1480561758317
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1480561758317
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1480561758318
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1480561758318
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1480561758319
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1480561758319
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1480561758319
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1480561758319
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1480561758324
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1480561758324
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1480561758325
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1480561758325
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1480561758326
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1480561758326
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1480561758326
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1480561758327
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1480561758327
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1480561758327
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1480561758328
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1480561758328
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1480561758328
os,sysinfo,,,"win32",1480561758330
arch,sysinfo,,,"x86",1480561758330
ws,sysinfo,,,"win32",1480561758330
locale,sysinfo,,,"en_US",1480561758330
processors,sysinfo,,,"8",1480561758330
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1480561758330
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1480561758330
java.specification.name,sysinfo,,,"Java Platform API Specification",1480561758330
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1480561758330
java.specification.version,sysinfo,,,"1.6",1480561758330
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1480561758330
java.version,sysinfo,,,"1.6.0_23",1480561758330
java.vm.info,sysinfo,,,"mixed mode",1480561758330
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1480561758330
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1480561758330
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1480561758330
java.vm.specification.version,sysinfo,,,"1.0",1480561758330
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1480561758330
java.vm.version,sysinfo,,,"19.0-b09",1480561758330
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1480561759736
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480561759738
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1480561760761
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480561760763
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1480561762943
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1480561762969
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1480561762972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480561763724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480561764988
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1480561764993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480561764993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480561766217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480561767310
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1480561767314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480561767314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480561768460
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1480561769710
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1480561769717
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1480561778429
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480561779079
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480561779085
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1480561780559
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1480561780563
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1480561780563
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1480561780563
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1480561788784
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1480561788887
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1480561788920
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1480561789199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480561791879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1480561791883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1480561791883
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480561793148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480561794021
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480561797335
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1480561813632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480561814803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1480561814810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1480561814810
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480561815718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480561818180
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nSEVERE: crt0.S source code not located in installed CPU module driver.\r\nSEVERE: crt0.S source code not located in installed CPU module driver.\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1480561819820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1480561833809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480561919097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480561920986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480562039100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480562042864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480562044540
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480562044599
error,log,,,"Problems saving workspace",1480562046680
error,log,,,"Problems occurred while trying to save the state of the workbench.",1480562046684
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1480562046760
